"","prize","prizeLabel","person","personLabel","pic","sexlabel","countrylabel","birth","death"
"327","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q18719968","José C. Vales","","masculino","España","",""
"328","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q19998168","Caty Juan del Corral","","femenino","España","",""
"329","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q20876484","Alejandro Palomas","","masculino","España","",""
"330","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q21541035","Rosario Neira","","femenino","España","",""
"331","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q21946844","Begoña García-Diego","","femenino","España","",""
"332","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q21953087","Matías Montes Huidobro","","masculino","Cuba","",""
"333","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q21994794","Víctor Maña","","masculino","España","",""
"334","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q27690228","Adrián González da Costa","","masculino","España","",""
"335","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q28502669","Vicente Soto Iborra","","masculino","España","",""
"336","http://www.wikidata.org/entity/Q3326922","Premio de la Crítica Española","http://www.wikidata.org/entity/Q30902270","Elías Gómez Picazo","","masculino","España","",""
"337","http://www.wikidata.org/entity/Q1630979","Premio Planeta","http://www.wikidata.org/entity/Q36377970","Fernando Bermúdez de Castro","","masculino","España","",""
"338","http://www.wikidata.org/entity/Q1630979","Premio Planeta","http://www.wikidata.org/entity/Q36378598","Manuel Ferrand Murillo","","masculino","España","",""
"339","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q57555521","Joaquín Moreno Pedrosa","","femenino","España","",""
"340","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q57664258","Carlos Vaquerizo","","masculino","España","",""
"341","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q57745761","Irene Sánchez Carrón","","femenino","España","",""
"342","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q57782281","Sergio Navarro Ramírez","","masculino","España","",""
"343","http://www.wikidata.org/entity/Q3320346","Premio Nacional de Narrativa","http://www.wikidata.org/entity/Q32690","Alonso Zamora Vicente","","masculino","España","",""
"344","http://www.wikidata.org/entity/Q1630979","Premio Planeta","http://www.wikidata.org/entity/Q39803","Mario Vargas Llosa","","masculino","España","",""
"345","http://www.wikidata.org/entity/Q1088492","Premio Rómulo Gallegos","http://www.wikidata.org/entity/Q39803","Mario Vargas Llosa","","masculino","España","",""
"346","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q80871","Gabriela Mistral","http://commons.wikimedia.org/wiki/Special:FilePath/Gabriela%20Mistral%201945.jpg","femenino","Chile","1889-04-07T00:00:00Z","1957-01-10T00:00:00Z"
"347","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q116409","Ángel Cruchaga Santa María","http://commons.wikimedia.org/wiki/Special:FilePath/%C3%81ngel%20Cruchaga%20Santa%20Mar%C3%ADa.jpg","masculino","Chile","1893-03-23T00:00:00Z","1964-09-05T00:00:00Z"
"348","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q119563","Francisco Coloane","http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20Coloane%20%26%20Mario%20Uribe.jpg","masculino","Chile","1910-07-19T00:00:00Z","2002-08-05T00:00:00Z"
"349","http://www.wikidata.org/entity/Q3326922","Premio de la Crítica Española","http://www.wikidata.org/entity/Q134644","Vicente Aleixandre","http://commons.wikimedia.org/wiki/Special:FilePath/Vicentealeixandre.jpg","masculino","España","1898-04-26T00:00:00Z","1984-12-14T00:00:00Z"
"350","http://www.wikidata.org/entity/Q1088492","Premio Rómulo Gallegos","http://www.wikidata.org/entity/Q154691","Carlos Fuentes","http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Fuentes%2C%20Paris%20-%20Mar%202009%20%2811%29.jpg","masculino","México","1928-11-11T00:00:00Z","2012-05-15T00:00:00Z"
